siniestro_id,anio_ocurrencia,anio_desarrollo,anio_calendario,numero_pago,monto_pago,monto_acumulado
1,2020,0,2020,1,9016.03,8968.61
1,2020,1,2021,2,4162.31,13109.03
1,2020,2,2022,3,1866.31,14965.53
1,2020,3,2023,4,476.67,15439.69
1,2020,4,2024,5,245.23,15683.63
2,2020,0,2020,1,1349.11,1349.11
2,2020,1,2021,2,523.98,1873.1
2,2020,2,2022,3,273.97,2147.06
2,2020,3,2023,4,46.54,2193.6
2,2020,4,2024,5,25.23,2218.83
3,2020,0,2020,1,11314.56,11314.56
3,2020,1,2021,2,5243.15,16557.7
3,2020,2,2022,3,1885.36,18443.06
3,2020,3,2023,4,423.34,18866.4
3,2020,4,2024,5,530.71,19397.11
4,2020,0,2020,1,16616.71,16616.71
4,2020,1,2021,2,7457.03,24073.74
4,2020,2,2022,3,3078.82,27152.56
4,2020,3,2023,4,908.15,28060.71
4,2020,4,2024,5,0,28060.71
5,2020,0,2020,1,3515.54,3515.54
5,2020,1,2021,2,1862.56,5378.1
5,2020,2,2022,3,20.11,5398.21
5,2020,3,2023,4,527.89,5926.1
5,2020,4,2024,5,99.74,6025.84
6,2020,0,2020,1,6401.62,6401.62
6,2020,1,2021,2,2463.09,8864.71
6,2020,2,2022,3,1412.48,10277.18
6,2020,3,2023,4,578.35,10855.54
6,2020,4,2024,5,47.33,10902.87
7,2020,0,2020,1,6342.31,6327.05
7,2020,1,2021,2,2459.86,8781
7,2020,2,2022,3,1519.88,10297.22
7,2020,3,2023,4,225.41,10522.09
7,2020,4,2024,5,201.94,10723.54
8,2020,0,2020,1,27332.01,27332.01
8,2020,1,2021,2,11531.32,38863.33
8,2020,2,2022,3,2749.33,41612.66
8,2020,3,2023,4,2541.08,44153.74
8,2020,4,2024,5,897.86,45051.6
10,2020,0,2020,1,6833,6833
10,2020,1,2021,2,3152.72,9985.72
10,2020,2,2022,3,452.85,10438.58
10,2020,3,2023,4,658.1,11096.68
10,2020,4,2024,5,327.85,11424.53
11,2020,0,2020,1,13606.98,13606.98
11,2020,1,2021,2,5832.87,19439.85
11,2020,2,2022,3,2064.83,21504.68
11,2020,3,2023,4,1866.74,23371.42
11,2020,4,2024,5,0,23371.42
12,2020,0,2020,1,14112.02,14112.02
12,2020,1,2021,2,6857.28,20969.3
12,2020,2,2022,3,898.89,21868.19
12,2020,3,2023,4,2147.54,24015.73
12,2020,4,2024,5,0,24015.73
13,2020,0,2020,1,3569.9,3569.9
13,2020,1,2021,2,1213.37,4783.27
13,2020,2,2022,3,860.21,5643.48
13,2020,3,2023,4,165.11,5808.59
13,2020,4,2024,5,9.63,5818.22
14,2020,0,2020,1,5497.64,5497.64
14,2020,1,2021,2,2113.03,7610.67
14,2020,2,2022,3,606.53,8217.2
14,2020,3,2023,4,554.46,8771.66
14,2020,4,2024,5,376.04,9147.7
15,2020,0,2020,1,9692.11,9692.11
15,2020,1,2021,2,3568.18,13260.29
15,2020,2,2022,3,651.54,13911.83
15,2020,3,2023,4,1052.35,14964.19
15,2020,4,2024,5,414.31,15378.5
16,2020,0,2020,1,6906.02,6906.02
16,2020,1,2021,2,3413.5,10319.53
16,2020,2,2022,3,699.74,11019.27
16,2020,3,2023,4,413.39,11432.66
16,2020,4,2024,5,199.21,11631.87
17,2020,0,2020,1,7098.16,7098.16
17,2020,1,2021,2,2520.04,9618.2
17,2020,2,2022,3,1633.43,11251.63
17,2020,3,2023,4,433.83,11685.46
17,2020,4,2024,5,0,11685.46
18,2020,0,2020,1,2838.49,2838.49
18,2020,1,2021,2,1148.84,3987.33
18,2020,2,2022,3,199.95,4187.28
18,2020,3,2023,4,361.61,4548.89
